Date,AGG,CAC.PA,DIA,EFA,EXS1.DE,GLD,IEF,IJH,IJR,IWF,LQD,QQQ,SHY,SPY,TLT,VB,VGK,VNQ,VTI,VWO
2008-01-03,0.0026529439245873833,-0.011259185494728053,0.0008421696959895673,0.0016606367912638915,-0.005162489446907915,0.008331903896944106,0.0020524296020848092,-0.00808881476225494,-0.012816589421693763,-0.0004992760524375422,-0.003304513155678393,0.004157306348622241,0.0015771165754660352,-0.0004832071081329384,-0.001377320720201412,-0.0109292935263834,0.003615644447165357,-0.03167006649247341,-0.0011861157597326995,0.009569511088573719
2008-01-04,0.002058749329354723,-0.0008990243753295405,-0.019853651987758337,-0.022980376773274254,-0.012687942473783735,-0.005155283230996526,0.0026152974000575287,-0.02896288913360823,-0.030992993102462764,-0.0312708913715224,0.00819475857898598,-0.04484685316811048,0.001454137824349142,-0.02481149887655964,0.0002109411891139667,-0.029328308370184467,-0.02463240349923549,-0.041446675535347324,-0.027098326040278578,-0.03360632851428754
2008-01-07,0.0012721581084859917,-0.017969476905899454,-0.0008587242119301314,0.0010441599675533807,0.0010747156922507012,-0.004237800612756689,0.001816832154648363,-0.002585797216119298,0.005178876687655508,0.0030860263944672067,-0.0012200045656662235,-0.004763490654049805,-0.000604788824123049,-0.0008498558100447486,0.0043403825967546356,-0.0024833547920850253,-0.00041072582787207853,0.009262931828007965,0.0005020439814548207,0.007848772422503543
2008-01-08,0.0025390154551292216,0.0010983229039806554,-0.01740823565174722,-0.005625739671275148,0.00428724773891021,0.023434499283740494,0.0021512847943398463,-0.022943693220762434,-0.027990814611036696,-0.015525857620986806,-0.0018799096197445954,-0.02629201910578988,0.0014521337873614087,-0.016280399051012008,-0.0011629901674103957,-0.024222673494924345,-0.007568180070978483,-0.035234224128976435,-0.018083905310543106,-0.0007822797230507787
2008-01-09,-0.002343881755365748,0.007836036546078506,0.008781476597101589,0.007190131899650102,-0.008592955140539097,-0.0026538494212900304,-0.001585381912370575,0.0056603984830830055,0.011388925849634178,0.012783281678142657,-0.0020728934246733452,0.021088389793908882,-0.0004833699000467028,0.010456056991217738,0.0019016870850251158,0.006822839994119703,0.0013802232944469216,0.01750696464614534,0.010528786492646786,0.023965171642113186
2008-01-10,-0.0020548118874033077,-0.011134560815578076,0.006750770243933572,-0.001042604475227954,-0.009075657166328448,0.019451378931132805,-0.002723399456563589,0.009114480705395157,0.006380253911093628,0.004110811913162948,-0.0029270020262055197,0.0014595624749617075,0.0,0.0065323143181611094,-0.01360083730292568,0.010225530651856727,0.0008273140210748158,0.015288980168261372,0.006550778680219319,0.009218660313867155
2008-01-11,0.004301473949265006,-0.006260380526263853,-0.012834046785474415,-0.020152277230074643,0.0006801748500405227,0.003732423352843317,0.006342919147200442,-0.01401812089070855,-0.020429084278764095,-0.013596310786686182,0.007255451903200983,-0.019781243609152947,0.0027797876307081803,-0.008101087541657547,0.0077788016729845215,-0.018641805359942067,-0.0183593921274748,0.0001741628041123335,-0.009444267515008072,-0.02393575834439078
2008-01-14,0.0007806819673644381,-0.005370897645906113,0.010406598846232877,0.015839714416869436,0.0017661475173954822,0.010779343871355922,0.0004515427350606056,0.010780828909378712,0.009772625318261289,0.01239912779786022,-0.0041395153135252456,0.017277661617361054,0.0003623937635037244,0.008030429300441377,0.003708716678251408,0.006199581051024137,0.015737744278088318,-0.004193345406255801,0.009588057190893931,0.010698437703898764
2008-01-15,0.0035989457681546316,0.005924840601130502,-0.017484667381333013,-0.03301676812201129,-0.021680348222545904,-0.017462315658241516,0.006525127786235774,-0.02308219828816366,-0.01947307941760811,-0.021101088268200004,0.00535887227634728,-0.027961668582471677,0.0008431741170138235,-0.02225909044242884,0.011149172572820344,-0.01952332123116147,-0.03258288362569748,-0.02052104843186258,-0.024549024564979257,-0.04309741575616828
2008-01-16,-0.0030147445845830362,-0.02865094044556336,-0.00520029246058702,-0.020373967730466798,-0.012562894207343156,-0.014769298791920495,-0.0019088466054166977,-0.007300063104599132,0.0025178666728299603,-0.015678493279675087,-0.0015015379329779614,-0.010799388819878335,0.0008432308209152131,-0.00864940544585629,-0.007243000387133493,0.0001612641567943339,-0.01946045324407367,0.01137382037266318,-0.006047642314351307,-0.03919255194681212
2008-01-17,0.006021332920470475,-0.004760553652262766,-0.02337625239522166,-0.015171887844145401,-0.007755845754617954,-0.002309434649609837,0.008055260324252569,-0.0290818626815951,-0.02340700738251673,-0.022808051349944108,0.004685131113882841,-0.013995561618362701,0.0016854254575049464,-0.02625825241760877,0.01287456729888242,-0.026026152910931754,-0.014662805402484753,-0.013700180852298334,-0.027905003640017464,-0.029042768727384073
2008-01-18,-0.00019337600678155173,-0.013064553066879127,-0.008753440550501762,0.005734123546611587,-0.013539677172591306,0.010579654551845074,-0.0014492683839548988,-0.0033135568428166885,-0.007060829576884825,-0.0032750019401897343,-0.0016837383047639052,-0.0013216987753122194,0.0008417579787989297,-0.01032045887739831,-0.006887344847295956,-0.008828596979261884,-0.0031066029275471866,-0.013345252056754273,-0.006792633436607534,0.02162450941194764
2008-01-22,0.0015491256758777834,-0.08323862534457928,-0.011259600616473627,-0.028286592308194847,-0.07739164668107561,0.008542679841935765,0.01109737731291649,-0.005058262100832598,-0.002942535815799518,-0.018393092889198315,0.002151210188013349,-0.026138180462661493,0.0041956908289109245,-0.010198713381837787,0.010625088807747271,-0.00654619463308763,-0.028403907170745955,0.02368247045779056,-0.011167846418323465,-0.031099361615103568
